"parameter","value","source"
"public_main_benefit_takeup",0.15,"MSD OIA NZS transfer flow and 55-64 stock cross-check"
"public_jss_mix_share",0.43588199879591,"MSD OIA main-benefit-to-NZS transfers, 2024 and H1 2025"
"public_slp_mix_share",0.48705599036725,"MSD OIA main-benefit-to-NZS transfers, 2024 and H1 2025"
"public_eb_mix_share",0.07304836443909,"MSD OIA main-benefit-to-NZS transfers, 2024 and H1 2025"
"public_sps_mix_share",0.00401364639775,"MSD OIA main-benefit-to-NZS transfers, 2024 and H1 2025"
"public_jss_benefit_to_nzs",0.658232540896,"Work and Income gross weekly rates, 1 April 2026"
"public_slp_benefit_to_nzs",0.75568840076,"Work and Income gross weekly rates, 1 April 2026"
"public_eb_benefit_to_nzs",0.658232540896,"Work and Income gross weekly rates, 1 April 2026"
"public_sps_benefit_to_nzs",0.937161128875,"Work and Income gross weekly rates, 1 April 2026"
"public_as_delta_takeup",0.09,"Judgement retained pending better marginal AS take-up evidence"
"public_as_amount_to_nzs",0.15148132793,"MSD RRIP background paper average AS payment, 2025 / 2025 NZS SLA gross rate"
"public_da_delta_takeup",0.02,"Judgement retained pending better marginal DA take-up evidence"
"public_da_amount_to_nzs",0.04464712823,"MSD RRIP background paper average DA payment, 2025 / 2025 NZS SLA gross rate"
"public_tas_delta_takeup",0.04,"Judgement retained pending better marginal TAS take-up evidence"
"public_tas_amount_to_nzs",0.17221035176,"MSD RRIP background paper average TAS payment, 2025 / 2025 NZS SLA gross rate"
