"year","nzs_expense_billion","nominal_gdp_billion","ltfm_cpi_growth_projection","ltfm_wage_growth_projection"
2026,24.691,456.464,0,0
2027,26.116,477.77,0.0197482475314692,0.0265
2028,27.605,500.866,0.0198092985438687,0.0268
2029,28.957,524.122,0.0200043487714721,0.0272
2030,30.3886070643945,547.635541857034,0.02,0.02918
2031,32.0340003615583,571.838476431015,0.02,0.02918
2032,33.7473569199721,596.122009130255,0.02,0.02918
2033,35.5388019684249,620.403973774487,0.02,0.02918
2034,37.4245803317758,645.462386030062,0.02,0.02918
2035,39.3576186743122,671.28503413171,0.02,0.02918
2036,41.4284906163077,697.975893157197,0.02,0.02918
2037,43.5342175156362,725.542412990482,0.02,0.02918
2038,45.6312704097521,753.840909516448,0.02,0.02918
2039,47.7220749209612,782.917226944438,0.02,0.02918
2040,49.7861740647054,812.923657448421,0.02,0.02918
2041,51.8476526125796,843.865373262491,0.02,0.02918
2042,53.9882414049267,875.868926749887,0.02,0.02918
2043,56.1646861860905,908.900356268598,0.02,0.02918
2044,58.4958482431944,942.958812329748,0.02,0.02918
2045,60.9587264809658,978.068703863426,0.02,0.02918
2046,63.5633524727898,1014.22045298241,0.02,0.02918
2047,66.331045533375,1051.4225382784,0.02,0.02918
2048,69.2970055398723,1089.67896824935,0.02,0.02918
2049,72.4246451275251,1128.97170410143,0.02,0.02918
2050,75.7396333259915,1169.33799970278,0.02,0.02918
2051,79.2457529394781,1210.82548186867,0.02,0.02918
2052,83.0613819963538,1253.37907682626,0.02,0.02918
2053,87.1883836355289,1297.05715878679,0.02,0.02918
2054,91.5512058418816,1341.92291658408,0.02,0.02918
2055,96.269461527081,1388.02736695936,0.02,0.02918
2056,101.242293651432,1435.38967670604,0.02,0.02918
2057,106.378488226277,1484.15555565509,0.02,0.02918
2058,111.617606311536,1534.3726504256,0.02,0.02918
2059,116.897121036275,1586.17201261245,0.02,0.02918
2060,122.325574097092,1639.59237946228,0.02,0.02918
2061,127.835203249608,1694.79998311074,0.02,0.02918
2062,133.435360207839,1751.77095541951,0.02,0.02918
2063,139.186228591616,1810.66681368135,0.02,0.02918
2064,145.009349882346,1871.53946637762,0.02,0.02918
2065,151.219422187546,1934.36362076396,0.02,0.02918
