"source","variant","age_band","age_from","age_to","living_arrangement","payment_category","payment_category_share","income_lower","income_upper","weighted_mean_income","income_bin_share","weighted_n","base_income_year","income_growth_default","caveat_flags"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"couple","couple",0.699187558153938,0,500,0,0.186940705711168,0.130706615545765,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"couple","couple",0.699187558153938,500,1000,631.419999999998,0.0373226627864678,0.0260955414574733,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"couple","couple",0.699187558153938,1000,2000,1631.42,0.0212804656238632,0.0148790367959277,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"couple","couple",0.699187558153938,2000,5000,3934.13084337349,0.0724627137140779,0.050665027858954,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"couple","couple",0.699187558153938,5000,10000,7554.76801762114,0.123863222990178,0.0866036244275795,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"couple","couple",0.699187558153938,10000,15000,12495.9880819912,0.0496907966533285,0.0347431867747646,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"couple","couple",0.699187558153938,15000,20000,17578.8378403756,0.0387413604947254,0.0270874772438685,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"couple","couple",0.699187558153938,20000,30000,24975.1569819341,0.0684612586395053,0.0478672602563009,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"couple","couple",0.699187558153938,30000,50000,40274.952095145,0.111640596580575,0.078057716114021,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"couple","couple",0.699187558153938,50000,75000,61961.13021611,0.11109494361586,0.0776762023500228,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"couple","couple",0.699187558153938,75000,1e+05,86461.6086792453,0.069407057111677,0.0485285507805643,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"couple","couple",0.699187558153938,100000,150000,120733.673032929,0.0629683521280466,0.0440266883653862,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"couple","couple",0.699187558153938,150000,250000,215978.78829653,0.0461258639505275,0.0322506301833101,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"couple","couple",0.699187558153938,250000,Inf,0,0,0,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
