age,source_age_band,source_band_median_weekly,source_band_average_weekly,source_band_people_000,median_weekly_linear,median_weekly_cubic,lower_weekly_linear,upper_weekly_linear,lower_weekly_cubic,upper_weekly_cubic,median_annual_linear,median_annual_cubic,lower_annual_linear,upper_annual_linear,lower_annual_cubic,upper_annual_cubic,core_kiwisaver_age
15,15 to 19,376,543,120.1,376.0,376.0,250.67,564.0,250.67,564.0,19552.0,19552.0,13034.67,29328.0,13034.67,29328.0,False
16,15 to 19,376,543,120.1,376.0,376.0,250.67,564.0,250.67,564.0,19552.0,19552.0,13034.67,29328.0,13034.67,29328.0,False
17,15 to 19,376,543,120.1,376.0,376.0,250.67,564.0,250.67,564.0,19552.0,19552.0,13034.67,29328.0,13034.67,29328.0,False
18,15 to 19,376,543,120.1,511.8,533.46,341.2,767.7,355.64,800.19,26613.6,27740.0,17742.4,39920.4,18493.33,41610.0,False
19,15 to 19,376,543,120.1,647.6,685.51,431.73,971.4,457.01,1028.26,33675.2,35646.4,22450.13,50512.8,23764.27,53469.6,False
20,20 to 24,1055,1004,229.9,783.4,826.72,522.27,1175.1,551.15,1240.08,40736.8,42989.6,27157.87,61105.2,28659.73,64484.4,True
21,20 to 24,1055,1004,229.9,919.2,951.69,612.8,1378.8,634.46,1427.54,47798.4,49488.0,31865.6,71697.6,32992.0,74232.0,True
22,20 to 24,1055,1004,229.9,1055.0,1055.0,703.33,1582.5,703.33,1582.5,54860.0,54860.0,36573.33,82290.0,36573.33,82290.0,True
23,20 to 24,1055,1004,229.9,1104.0,1133.17,736.0,1656.0,755.45,1699.76,57408.0,58925.05,38272.0,86112.0,39283.37,88387.58,True
24,20 to 24,1055,1004,229.9,1153.0,1190.52,768.67,1729.5,793.68,1785.77,59956.0,61906.84,39970.67,89934.0,41271.23,92860.26,True
25,25 to 29,1300,1382,259.1,1202.0,1233.27,801.33,1803.0,822.18,1849.91,62504.0,64130.11,41669.33,93756.0,42753.4,96195.16,True
26,25 to 29,1300,1382,259.1,1251.0,1267.68,834.0,1876.5,845.12,1901.53,65052.0,65919.58,43368.0,97578.0,43946.39,98879.37,True
27,25 to 29,1300,1382,259.1,1300.0,1300.0,866.67,1950.0,866.67,1950.0,67600.0,67600.0,45066.67,101400.0,45066.67,101400.0,True
28,25 to 29,1300,1382,259.1,1335.4,1335.09,890.27,2003.1,890.06,2002.64,69440.8,69424.68,46293.87,104161.2,46283.12,104137.02,True
29,25 to 29,1300,1382,259.1,1370.8,1372.33,913.87,2056.2,914.89,2058.5,71281.6,71361.24,47521.07,106922.4,47574.16,107041.85,True
30,30 to 34,1477,1569,294.3,1406.2,1409.73,937.47,2109.3,939.82,2114.59,73122.4,73305.85,48748.27,109683.6,48870.57,109958.77,True
31,30 to 34,1477,1569,294.3,1441.6,1445.28,961.07,2162.4,963.52,2167.92,74963.2,75154.71,49975.47,112444.8,50103.14,112732.06,True
32,30 to 34,1477,1569,294.3,1477.0,1477.0,984.67,2215.5,984.67,2215.5,76804.0,76804.0,51202.67,115206.0,51202.67,115206.0,True
33,30 to 34,1477,1569,294.3,1492.4,1503.25,994.93,2238.6,1002.17,2254.87,77604.8,78168.99,51736.53,116407.2,52112.66,117253.48,True
34,30 to 34,1477,1569,294.3,1507.8,1523.87,1005.2,2261.7,1015.91,2285.8,78405.6,79241.24,52270.4,117608.4,52827.49,118861.86,True
35,35 to 39,1554,1738,277.9,1523.2,1539.07,1015.47,2284.8,1026.04,2308.6,79206.4,80031.4,52804.27,118809.6,53354.26,120047.1,True
36,35 to 39,1554,1738,277.9,1538.6,1549.04,1025.73,2307.9,1032.69,2323.56,80007.2,80550.1,53338.13,120010.8,53700.07,120825.15,True
37,35 to 39,1554,1738,277.9,1554.0,1554.0,1036.0,2331.0,1036.0,2331.0,80808.0,80808.0,53872.0,121212.0,53872.0,121212.0,True
38,35 to 39,1554,1738,277.9,1555.2,1554.54,1036.8,2332.8,1036.36,2331.81,80870.4,80836.23,53913.6,121305.6,53890.82,121254.34,True
39,35 to 39,1554,1738,277.9,1556.4,1552.84,1037.6,2334.6,1035.23,2329.27,80932.8,80747.92,53955.2,121399.2,53831.94,121121.88,True
40,40 to 44,1560,1788,247.6,1557.6,1551.47,1038.4,2336.4,1034.32,2327.21,80995.2,80676.69,53996.8,121492.8,53784.46,121015.04,True
41,40 to 44,1560,1788,247.6,1558.8,1553.0,1039.2,2338.2,1035.34,2329.51,81057.6,80756.18,54038.4,121586.4,53837.45,121134.27,True
42,40 to 44,1560,1788,247.6,1560.0,1560.0,1040.0,2340.0,1040.0,2340.0,81120.0,81120.0,54080.0,121680.0,54080.0,121680.0,True
43,40 to 44,1560,1788,247.6,1574.0,1573.94,1049.33,2361.0,1049.29,2360.91,81848.0,81844.82,54565.33,122772.0,54563.21,122767.23,True
44,40 to 44,1560,1788,247.6,1588.0,1591.91,1058.67,2382.0,1061.27,2387.87,82576.0,82779.41,55050.67,123864.0,55186.27,124169.12,True
45,45 to 49,1630,1861,215.7,1602.0,1609.92,1068.0,2403.0,1073.28,2414.87,83304.0,83715.6,55536.0,124956.0,55810.4,125573.4,True
46,45 to 49,1630,1861,215.7,1616.0,1623.95,1077.33,2424.0,1082.63,2435.92,84032.0,84445.19,56021.33,126048.0,56296.79,126667.78,True
47,45 to 49,1630,1861,215.7,1630.0,1630.0,1086.67,2445.0,1086.67,2445.0,84760.0,84760.0,56506.67,127140.0,56506.67,127140.0,True
48,45 to 49,1630,1861,215.7,1616.6,1625.37,1077.73,2424.9,1083.58,2438.06,84063.2,84519.45,56042.13,126094.8,56346.3,126779.17,True
49,45 to 49,1630,1861,215.7,1603.2,1612.56,1068.8,2404.8,1075.04,2418.85,83366.4,83853.35,55577.6,125049.6,55902.23,125780.02,True
50,50 to 54,1563,1874,212.7,1589.8,1595.37,1059.87,2384.7,1063.58,2393.05,82669.6,82959.13,55113.07,124004.4,55306.09,124438.69,True
