age,retirement_income,source_variant,source_quantile,non_nzs_taxable_income_annual,profile_method,anchor_65_69,anchor_70_74,anchor_75_plus
65,low,ird_msd_fixed_mix_clipped,p25,573.5239999999998,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
66,low,ird_msd_fixed_mix_clipped,p25,491.5919999999998,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
67,low,ird_msd_fixed_mix_clipped,p25,409.6599999999999,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
68,low,ird_msd_fixed_mix_clipped,p25,327.7279999999999,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
69,low,ird_msd_fixed_mix_clipped,p25,245.7959999999999,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
70,low,ird_msd_fixed_mix_clipped,p25,163.86399999999992,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
71,low,ird_msd_fixed_mix_clipped,p25,81.93199999999996,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
72,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
73,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
74,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
75,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
76,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
77,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
78,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
79,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
80,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
81,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
82,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
83,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
84,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
85,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
86,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
87,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
88,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
89,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
90,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
91,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
92,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
93,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
94,low,ird_msd_fixed_mix_clipped,p25,0.0,linear_67_to_72_then_linear_72_to_75_flat_after_75,409.6599999999999,0.0,0.0
