age,sex_basis,survival_probability
65,total_2026_age65_weighted,1.0
66,total_2026_age65_weighted,0.9912088876744827
67,total_2026_age65_weighted,0.981748046357688
68,total_2026_age65_weighted,0.9715558856575679
69,total_2026_age65_weighted,0.960575553647601
70,total_2026_age65_weighted,0.9487222961664115
71,total_2026_age65_weighted,0.9358998873784397
72,total_2026_age65_weighted,0.9219802847970996
73,total_2026_age65_weighted,0.9068290218256165
74,total_2026_age65_weighted,0.8902884869050465
75,total_2026_age65_weighted,0.8721946904006231
76,total_2026_age65_weighted,0.8523797436380591
77,total_2026_age65_weighted,0.8306632272361376
78,total_2026_age65_weighted,0.8068557615755447
79,total_2026_age65_weighted,0.7807941422588404
80,total_2026_age65_weighted,0.7523284264798933
81,total_2026_age65_weighted,0.7212770842640517
82,total_2026_age65_weighted,0.6875178327908399
83,total_2026_age65_weighted,0.6509492070438886
84,total_2026_age65_weighted,0.6115741470024384
85,total_2026_age65_weighted,0.5694456916468711
86,total_2026_age65_weighted,0.5247342594101063
87,total_2026_age65_weighted,0.47778416372415566
88,total_2026_age65_weighted,0.4291035733260482
89,total_2026_age65_weighted,0.37941493451872954
90,total_2026_age65_weighted,0.3295916230346104
91,total_2026_age65_weighted,0.28063410668984545
92,total_2026_age65_weighted,0.23368449098819716
93,total_2026_age65_weighted,0.18983949749971218
94,total_2026_age65_weighted,0.15009828541684844
95,total_2026_age65_weighted,0.1152536368244525
96,total_2026_age65_weighted,0.08574255600400767
97,total_2026_age65_weighted,0.06171065424205981
98,total_2026_age65_weighted,0.04288525591931319
99,total_2026_age65_weighted,0.028726117269768096
100,total_2026_age65_weighted,0.01852651214750565
101,total_2026_age65_weighted,0.011489347155722904
102,total_2026_age65_weighted,0.006839228883645901
103,total_2026_age65_weighted,0.0039040731846234087
104,total_2026_age65_weighted,0.002132018680166808
105,total_2026_age65_weighted,0.0011075574809668095
