"year","ltfm_cpi_growth_projection","ltfm_wage_growth_projection"
2026,0,0
2027,0.0197482475314692,0.0265
2028,0.0198092985438687,0.0268
2029,0.0200043487714721,0.0272
2030,0.02,0.02918
2031,0.02,0.02918
2032,0.02,0.02918
2033,0.02,0.02918
2034,0.02,0.02918
2035,0.02,0.02918
2036,0.02,0.02918
2037,0.02,0.02918
2038,0.02,0.02918
2039,0.02,0.02918
2040,0.02,0.02918
2041,0.02,0.02918
2042,0.02,0.02918
2043,0.02,0.02918
2044,0.02,0.02918
2045,0.02,0.02918
2046,0.02,0.02918
2047,0.02,0.02918
2048,0.02,0.02918
2049,0.02,0.02918
2050,0.02,0.02918
2051,0.02,0.02918
2052,0.02,0.02918
2053,0.02,0.02918
2054,0.02,0.02918
2055,0.02,0.02918
2056,0.02,0.02918
2057,0.02,0.02918
2058,0.02,0.02918
2059,0.02,0.02918
2060,0.02,0.02918
2061,0.02,0.02918
2062,0.02,0.02918
2063,0.02,0.02918
2064,0.02,0.02918
2065,0.02,0.02918
