"year","rate_category","living_arrangement","current_formula_annual","cpi_annual","wage_annual"
2026,"single_living_alone","single_living_alone",28867.904,28867.904,28811.22816
2027,"single_living_alone","single_living_alone",29574.72570624,29437.9945139067,29574.72570624
2028,"single_living_alone","single_living_alone",30367.3283551672,30021.1405357654,30367.3283551672
2029,"single_living_alone","single_living_alone",31193.3196864278,30621.6939015603,31193.3196864278
2030,"single_living_alone","single_living_alone",32103.5407548777,31234.1277795915,32103.5407548777
2031,"single_living_alone","single_living_alone",33040.3220741051,31858.8103351833,33040.3220741051
2032,"single_living_alone","single_living_alone",34004.4386722274,32495.986541887,34004.4386722274
2033,"single_living_alone","single_living_alone",34996.688192683,33145.9062727247,34996.688192683
2034,"single_living_alone","single_living_alone",36017.8915541455,33808.8243981792,36017.8915541455
2035,"single_living_alone","single_living_alone",37068.8936296955,34485.0008861428,37068.8936296955
2036,"single_living_alone","single_living_alone",38150.56394581,35174.7009038656,38150.56394581
2037,"single_living_alone","single_living_alone",39263.7974017487,35878.194921943,39263.7974017487
2038,"single_living_alone","single_living_alone",40409.5150099318,36595.7588203818,40409.5150099318
2039,"single_living_alone","single_living_alone",41588.6646579216,37327.6739967895,41588.6646579216
2040,"single_living_alone","single_living_alone",42802.2218926397,38074.2274767252,42802.2218926397
2041,"single_living_alone","single_living_alone",44051.190727467,38835.7120262598,44051.190727467
2042,"single_living_alone","single_living_alone",45336.6044728944,39612.4262667849,45336.6044728944
2043,"single_living_alone","single_living_alone",46659.5265914135,40404.6747921206,46659.5265914135
2044,"single_living_alone","single_living_alone",48021.0515773509,41212.7682879631,48021.0515773509
2045,"single_living_alone","single_living_alone",49422.305862378,42037.0236537223,49422.305862378
2046,"single_living_alone","single_living_alone",50864.4487474422,42877.7641267968,50864.4487474422
2047,"single_living_alone","single_living_alone",52348.6733618926,43735.3194093327,52348.6733618926
2048,"single_living_alone","single_living_alone",53876.2076505926,44610.0257975194,53876.2076505926
2049,"single_living_alone","single_living_alone",55448.3153898369,45502.2263134697,55448.3153898369
