"year","age","sex","population"
2026,0,"female",30501.1695810739
2026,1,"female",30490.4044641595
2026,2,"female",30070.5649044955
2026,3,"female",30113.6253721534
2026,4,"female",33170.9185758601
2026,5,"female",33143.2382239038
2026,6,"female",33272.4196268773
2026,7,"female",33918.3266417449
2026,8,"female",34176.6894476919
2026,9,"female",35134.7848530789
2026,10,"female",34917.5785979118
2026,11,"female",35681.9018988384
2026,12,"female",35907.9693540421
2026,13,"female",37156.7229161195
2026,14,"female",37511.9717742967
2026,15,"female",34802.2404623361
2026,16,"female",35148.7690944453
2026,17,"female",34465.6126482871
2026,18,"female",35267.5789111685
2026,19,"female",34366.6044676844
2026,20,"female",32324.6620762027
2026,21,"female",31671.2080842253
2026,22,"female",31621.703993924
2026,23,"female",30839.5393671632
2026,24,"female",31166.2663631519
2026,25,"female",32478.2763964678
2026,26,"female",33408.9532941326
2026,27,"female",32567.3837590102
2026,28,"female",34369.3326459782
2026,29,"female",35408.9185423059
2026,30,"female",36264.7994555009
2026,31,"female",37977.6409799265
2026,32,"female",38898.4170595311
2026,33,"female",40809.274945162
2026,34,"female",41829.0592053692
2026,35,"female",42758.156089262
2026,36,"female",42530.4372738759
2026,37,"female",41352.2399247045
2026,38,"female",40817.5957494503
2026,39,"female",38985.9444083015
2026,40,"female",37672.7677066242
2026,41,"female",37326.2390745149
2026,42,"female",36256.9507240064
2026,43,"female",35771.8106390535
2026,44,"female",34841.1337413887
2026,45,"female",33628.9070767709
2026,46,"female",32925.9489944922
2026,47,"female",32262.5941844545
2026,48,"female",31024.9919269215
2026,49,"female",30955.6862004997
2026,50,"female",30449.1733993119
2026,51,"female",31468.9576595191
2026,52,"female",32419.4361933044
2026,53,"female",33191.700002005
2026,54,"female",33963.9638107056
2026,55,"female",34323.4053348578
2026,56,"female",32808.5801716374
2026,57,"female",32739.2744452156
2026,58,"female",31937.3081823342
2026,59,"female",31471.9697335018
2026,60,"female",30658.1296031392
2026,61,"female",30974.9557810677
2026,62,"female",31786.8228620093
2026,63,"female",32351.1694914443
2026,64,"female",31965.037587094
2026,65,"female",30843.8377880109
2026,66,"female",29418.1199873329
2026,67,"female",28843.8725398376
2026,68,"female",27734.9809170881
2026,69,"female",26784.5023833027
2026,70,"female",25925.4723621797
2026,71,"female",24846.2831936109
2026,72,"female",23945.3087501269
2026,73,"female",22767.1114009555
2026,74,"female",21994.8475922549
2026,75,"female",20972.7610706833
2026,76,"female",20853.9512539601
2026,77,"female",19606.4481783669
2026,78,"female",19487.6383616437
2026,79,"female",18962.8950044497
2026,80,"female",15466.6322002644
2026,81,"female",14070.6168537672
2026,82,"female",12793.4113239931
2026,83,"female",11050.8673453867
2026,84,"female",11615.2139748217
2026,85,"female",10663.6971863671
2026,86,"female",9188.47529538782
2026,87,"female",7752.85667664956
2026,88,"female",6653.86587196027
2026,89,"female",5624.18079369282
2026,90,"female",4762.70135534294
2026,91,"female",3841.9252757384
2026,92,"female",3198.37210182124
2026,93,"female",2624.12465432594
2026,94,"female",2059.7780248909
2026,95,"female",5742.88234330907
2027,0,"female",30881.158563776
2027,1,"female",30902.9696052809
2027,2,"female",31001.1192920527
2027,3,"female",30641.2371072226
2027,4,"female",30739.3867939944
2027,5,"female",33870.0704059116
2027,6,"female",33837.3538436543
2027,7,"female",33979.1256134359
2027,8,"female",34633.4568585815
2027,9,"female",34895.1893566398
2027,10,"female",35875.0397315839
2027,11,"female",35656.9293165354
2027,12,"female",36442.1268107102
2027,13,"female",36692.953788016
2027,14,"female",37979.8052368025
2027,15,"female",34885.852296136
2027,16,"female",35163.1361746143
2027,17,"female",35450.3230487526
2027,18,"female",34667.9863916173
2027,19,"female",35430.5170574327
2027,20,"female",34422.9737722223
2027,21,"female",32323.5386923149
2027,22,"female",31669.9409787588
2027,23,"female",31679.8439744188
2027,24,"female",31055.9552478425
2027,25,"female",31709.078597734
2027,26,"female",32976.6620422064
2027,27,"female",34016.4765865002
2027,28,"female",33204.430942385
2027,29,"female",34996.8731568343
2027,30,"female",36020.6476501178
2027,31,"female",36852.4992855528
2027,32,"female",38545.9115434026
2027,33,"female",39466.890139777
2027,34,"female",41348.4593151657
2027,35,"female",42296.5901272229
2027,36,"female",43267.083701897
2027,37,"female",42999.7028190786
2027,38,"female",41761.8283615861
2027,39,"female",41197.3576089695
2027,40,"female",39276.6208050699
2027,41,"female",37969.4253779578
2027,42,"female",37583.2085472201
2027,43,"female",36474.0730333067
2027,44,"female",35929.40827201
2027,45,"female",34911.5021200993
2027,46,"female",33683.5306582667
2027,47,"female",32940.8059837711
2027,48,"female",32227.7902962554
2027,49,"female",30960.206851783
2027,50,"female",30851.3816574716
2027,51,"female",30356.2318744746
2027,52,"female",31386.1434231084
2027,53,"female",32336.8310064627
2027,54,"female",33119.167663598
2027,55,"female",33912.5299457158
2027,56,"female",34269.0377894736
2027,57,"female",32773.6854448226
2027,58,"female",32704.3644752031
2027,59,"female",31912.1248224078
2027,60,"female",31453.4531222426
2027,61,"female",30631.5044824676
2027,62,"female",30938.4973479257
2027,63,"female",31730.7370007209
2027,64,"female",32265.4987663577
2027,65,"female",31839.0636579236
2027,66,"female",30710.1221526904
2027,67,"female",29264.2847863391
2027,68,"female",28660.2020510827
2027,69,"female",27531.2605458495
2027,70,"female",26564.2151723999
2027,71,"female",25682.8485586652
2027,72,"female",24593.5190360717
2027,73,"female",23662.6374440373
2027,74,"female",22464.3749691845
2027,75,"female",21660.2665434014
2027,76,"female",20620.4519991077
2027,77,"female",20452.1010728887
2027,78,"female",19174.6146327564
2027,79,"female",18996.3607108775
2027,80,"female",18420.8991377391
2027,81,"female",14954.8506567599
2027,82,"female",13538.7222773884
2027,83,"female",12231.5268502763
2027,84,"female",10488.5996141268
2027,85,"female",10933.3479089252
2027,86,"female",9943.04834293114
2027,87,"female",8457.59899394006
2027,88,"female",7041.47061456858
2027,89,"female",5942.23809631518
2027,90,"female",4941.94309119347
2027,91,"female",4100.18846009852
2027,92,"female",3228.72484202376
2027,93,"female",2634.54510242733
2027,94,"female",2109.68633245049
2027,95,"female",5862.92168756793
2028,0,"female",31254.2970913396
2028,1,"female",31298.4750559854
2028,2,"female",31431.0089499228
2028,3,"female",31596.6763173445
2028,4,"female",31276.3860736625
2028,5,"female",31415.5398962958
2028,6,"female",34585.3088596307
2028,7,"female",34563.2198773078
2028,8,"female",34706.7982624066
2028,9,"female",35369.4677320933
2028,10,"female",35644.2936738611
2028,11,"female",36627.2533872297
2028,12,"female",36417.4080551623
2028,13,"female",37234.7004011093
2028,14,"female",37521.8571713068
2028,15,"female",34886.1747585026
2028,16,"female",35252.6694198599
2028,17,"female",35470.5851644508
2028,18,"female",35658.7851256884
2028,19,"female",34836.6484529137
2028,20,"female",35512.7492859303
2028,21,"female",34442.9810852115
2028,22,"female",32352.9709893627
2028,23,"female",31748.7500611789
2028,24,"female",31927.0447612987
2028,25,"female",31595.560011107
2028,26,"female",32219.5914615263
2028,27,"female",33606.3280180137
2028,28,"female",34666.1909576147
2028,29,"female",33853.9595459578
2028,30,"female",35620.0018434707
2028,31,"female",36620.4332163652
2028,32,"female",37442.5698891398
2028,33,"female",39126.4642791602
2028,34,"female",40027.8430408769
2028,35,"female",41839.9480450933
2028,36,"female",42810.6636346345
2028,37,"female",43751.6634408223
2028,38,"female",43424.789823936
2028,39,"female",42156.9164008619
2028,40,"female",41512.5682717141
2028,41,"female",39590.9476148674
2028,42,"female",38233.9268417333
2028,43,"female",37808.0006136693
